,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
PD Salt,PD Salt,Right hand,Right arm off break,1,1,0,100.0,1,13,2,2,0,4,9,1,0,0,0,1,0,0,0,0.4,33.3,144.4,0.0,13.0,13.0,0.0,100.0,22.2,1.4,9.0,0.0,100.0,4.0,9.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,8.7,,-0.5,0.4,-14.3,
JC Buttler,JC Buttler,Right hand,,1,1,0,100.0,1,84,20,8,3,13,51,1,0,0,0,1,0,0,0,0.3,49.0,164.7,0.0,84.0,84.0,0.0,100.0,21.6,1.6,51.0,0.0,100.0,7.0,51.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,9.9,,70.5,0.6,-14.3,
Shaheen Shah Afridi,Shaheen Shah Afridi,Left hand,Left arm pace,1,0,0,0.0,1,9,7,0,0,3,11,1,0,0,0,1,0,0,0,0.3,45.5,81.8,0.0,9.0,9.0,0.0,100.0,0.0,0.8,11.0,0.0,100.0,,11.0,inf,1,36,5,5,1,3,24,1,0,1,10,0,0,0,3,0,0,1,0,0,9.0,0,41.7,25.0,12.0,0,8.0,0,1.5,4.0,32.0,1.8,4.9,12.0,-4.5,-0.2,21.7,0.1
Mohammad Amir,Mohammad Amir,Left hand,Left arm pace,1,0,0,0.0,1,5,1,1,0,1,3,1,1,0,0,0,0,0,0,0.3,33.3,166.7,0.0,5.0,5.0,0.0,100.0,33.3,1.7,3.0,0.0,100.0,1.0,3.0,3.0,1,34,7,3,1,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,8.5,0,33.3,16.7,inf,0,inf,0,1.4,6.0,50.0,1.3,10.0,inf,-8.5,0.7,19.7,0.0
Imad Wasim,Imad Wasim,Left hand,Left arm orthodox,1,0,0,0.0,1,22,8,2,1,2,13,1,0,0,0,1,0,0,0,0.2,61.5,169.2,0.0,22.0,22.0,0.0,100.0,23.1,1.7,13.0,0.0,100.0,2.0,13.0,4.3,1,19,13,0,1,2,24,0,0,0,10,1,0,0,1,0,0,0,0,0,4.8,0,41.7,4.2,9.5,0,12.0,0,0.8,24.0,54.2,1.7,10.2,9.5,8.5,0.7,4.7,-0.6
WG Jacks,WG Jacks,Right hand,Right arm off break,1,1,0,100.0,1,37,9,4,2,8,23,1,0,0,0,1,0,0,0,0.3,39.1,160.9,0.0,37.0,37.0,0.0,100.0,26.1,1.6,23.0,0.0,100.0,5.0,23.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,9.7,,23.5,0.6,-14.3,
Haris Rauf,Haris Rauf,Right hand,Right arm pace,1,0,0,0.0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0.0,50.0,150.0,0.0,inf,3.0,0.0,100.0,0.0,1.5,2.0,0.0,100.0,,inf,inf,1,34,10,3,2,2,24,0,0,0,9,0,0,0,2,0,0,1,0,0,8.5,0,37.5,20.8,17.0,0,12.0,0,1.4,4.8,54.2,2.2,9.0,17.0,-10.5,0.5,19.7,0.0
Shadab Khan,Shadab Khan,Right hand,Right arm leg break,1,0,0,0.0,1,3,3,0,0,1,4,1,0,0,0,1,0,0,0,0.2,50.0,75.0,0.0,3.0,3.0,0.0,100.0,0.0,0.8,4.0,0.0,100.0,,4.0,inf,1,55,9,5,3,0,24,0,0,0,3,0,0,0,0,0,0,2,0,0,13.8,0,12.5,33.3,inf,0,inf,0,2.3,3.0,37.5,1.0,4.5,inf,-10.5,-0.2,40.7,0.9
JM Bairstow,JM Bairstow,Right hand,Right arm pace,1,1,0,100.0,1,21,5,1,2,9,18,1,0,0,0,1,0,0,0,0.5,38.9,116.7,0.0,21.0,21.0,0.0,100.0,16.7,1.2,18.0,0.0,100.0,11.0,18.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,7.0,,7.5,0.2,-14.3,
Iftikhar Ahmed,Iftikhar Ahmed,Right hand,Right arm off break,1,0,0,0.0,1,23,7,1,2,7,17,1,0,0,0,1,0,0,0,0.4,41.2,135.3,0.0,23.0,23.0,0.0,100.0,17.6,1.4,17.0,0.0,100.0,8.0,17.0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,8.1,,9.5,0.4,-14.3,
HC Brook,HC Brook,Right hand,Right arm pace,1,1,0,100.0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0.5,50.0,50.0,0.0,1.0,1.0,0.0,100.0,0.0,0.5,2.0,0.0,100.0,,2.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,3.0,,-12.5,-0.5,-14.3,
MM Ali,MM Ali,Left hand,Right arm off break,1,1,0,100.0,1,4,4,0,0,3,7,1,0,0,0,1,0,0,0,0.4,50.0,57.1,0.0,4.0,4.0,0.0,100.0,0.0,0.6,7.0,0.0,100.0,,7.0,inf,1,26,9,2,1,2,24,0,0,0,11,0,1,0,1,0,0,1,0,0,6.5,0,45.8,12.5,13.0,0,12.0,0,1.1,8.0,50.0,2.2,3.4,13.0,-9.5,-0.4,11.7,-0.3
LS Livingstone,LS Livingstone,Right hand,Right arm off break,1,1,0,100.0,1,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0.3,100.0,66.7,0.0,inf,2.0,0.0,100.0,0.0,0.7,3.0,0.0,100.0,,inf,inf,1,9,2,0,1,1,6,1,0,1,3,0,0,0,1,0,0,2,0,0,9.0,0,50.0,16.7,9.0,0,6.0,0,1.5,6.0,42.9,1.5,4.0,9.0,-11.5,-0.3,-5.3,0.1
Mohammad Rizwan,Mohammad Rizwan,Right hand,,1,0,0,0.0,1,0,0,0,0,3,3,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,100.0,,3.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
CJ Jordan,CJ Jordan,Right hand,Right arm pace,1,1,0,100.0,1,3,1,0,0,1,3,1,0,0,0,1,0,0,0,0.3,66.7,100.0,0.0,3.0,3.0,0.0,100.0,0.0,1.0,3.0,0.0,100.0,,3.0,inf,1,31,15,3,0,1,24,2,1,1,6,1,0,0,0,0,0,2,0,0,7.8,0,25.0,12.5,31.0,0,24.0,0,1.3,8.0,46.2,1.5,6.0,31.0,-10.5,-0.0,16.7,-0.1
JC Archer,JC Archer,Right hand,Right arm pace,1,1,0,100.0,1,12,0,1,1,0,4,0,0,0,0,0,0,0,0,0.0,25.0,300.0,0.0,inf,12.0,0.0,100.0,50.0,3.0,4.0,0.0,100.0,1.0,inf,2.0,1,28,10,3,1,2,24,0,0,0,10,0,0,0,2,0,0,0,0,0,7.0,0,41.7,16.7,14.0,0,12.0,0,1.2,6.0,41.7,1.7,18.0,14.0,-1.5,2.0,13.7,-0.2
Saim Ayub,Saim Ayub,Left hand,Right arm pace,1,0,0,0.0,1,2,2,0,0,5,7,1,0,0,0,1,0,0,0,0.7,71.4,28.6,0.0,2.0,2.0,0.0,100.0,0.0,0.3,7.0,0.0,100.0,,7.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,1.7,,-11.5,-0.7,-14.3,
Babar Azam,Babar Azam,Right hand,Right arm off break,1,0,0,0.0,1,32,10,4,0,10,26,1,0,1,0,0,0,0,0,0.4,44.4,123.1,0.0,32.0,32.0,0.0,100.0,15.4,1.2,26.0,0.0,100.0,4.0,26.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,7.4,,18.5,0.2,-14.3,
RJW Topley,RJW Topley,Right hand,Left arm pace,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,41,5,6,1,3,20,1,0,1,6,0,0,0,3,0,0,0,0,0,12.3,0,30.0,35.0,13.67,0,6.7,0,2.0,2.9,42.9,1.2,,13.7,-13.5,,26.7,0.6
