fantasy_bat_prev_1,fantasy_bowl_prev_1,fantasy_field_prev_1,fantasy_bat_prev_2,fantasy_bowl_prev_2,fantasy_field_prev_2,total_runs_prev_1,total_runs_prev_2,avg_runs_per_inning_prev_1,avg_runs_per_inning_prev_2,boundaries_prev_1,boundaries_prev_2,sixes_prev_1,sixes_prev_2,average_sixes_per_inning_prev_1,average_sixes_per_inning_prev_2,fours_prev_1,fours_prev_2,average_fours_per_inning_prev_1,average_fours_per_inning_prev_2,boundary_percent_per_inning_prev_1,boundary_percent_per_inning_prev_2,wickets_prev_1,wickets_prev_2,avg_wickets_per_inning_prev_1,avg_wickets_per_inning_prev_2,catches_taken_prev_1,catches_taken_prev_2,stumped_outs_made_prev_1,stumped_outs_made_prev_2,run_outs_made_prev_1,run_outs_made_prev_2,balls_faced_prev_1,balls_faced_prev_2,avg_balls_faced_per_inning_prev_1,avg_balls_faced_per_inning_prev_2,avg_batting_sr_per_inning_prev_1,avg_batting_sr_per_inning_prev_2,avg_runs_ball_per_inning_prev_1,avg_runs_ball_per_inning_prev_2,overs_bowled_prev_1,overs_bowled_prev_2,bowls_bowled_prev_1,bowls_bowled_prev_2,average_bowls_bowled_per_inning_prev_1,average_bowls_bowled_per_inning_prev_2,avg_economy_rate_per_inning_prev_1,avg_economy_rate_per_inning_prev_2,average_consecutive_dot_balls_prev_1,average_consecutive_dot_balls_prev_2,runs_given_prev_1,runs_given_prev_2,runs_given_ball_per_inning_prev_1,runs_given_ball_per_inning_prev_2,batting_sr_aa_prev_1,batting_sr_aa_prev_2,bat_points,bowl_points,field_points,batting_points,bowling_points,fielding_points,total_runs,avg_runs_per_inning,boundaries,sixes,average_sixes_per_inning,fours,average_fours_per_inning,boundary_percent_per_inning,wickets,avg_wickets_per_inning,catches_taken,stumped_outs_made,run_outs_made,balls_faced,avg_balls_faced_per_inning,avg_batting_sr_per_inning,avg_runs_ball_per_inning,overs_bowled,bowls_bowled,average_bowls_bowled_per_inning,avg_economy_rate_per_inning,average_consecutive_dot_balls,runs_given,runs_given_ball_per_inning,batting_sr_aa
-4.0,6.0,0,8.0,0.0,0,35.0,95.0,17.5,47.5,3.0,16.0,1.0,0.0,0.5,0.0,2.0,16.0,1.0,8.0,1.1194029850746268,6.666666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,134.0,120.0,67.0,60.0,13.059701492537313,39.583333333333336,0.13059701492537312,0.3958333333333333,5.0,1.5,30.0,9.0,30.0,4.5,2.6,2.6666666666666665,3.0,1.0,13.0,8.0,0.43333333333333335,0.4444444444444444,0.0,0.0,-5.0,0.0,0,-5.0,0.0,0,28.0,14.0,3.0,0.0,0.0,3.0,1.5,2.027027027027027,0.0,0.0,0,0,0,74.0,37.0,18.91891891891892,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.46263291139241
-5.0,0.0,0,-4.0,6.0,0,28.0,35.0,14.0,17.5,3.0,3.0,0.0,1.0,0.0,0.5,3.0,2.0,1.5,1.0,2.027027027027027,1.1194029850746268,0.0,0.0,0.0,0.0,0,0,0,0,0,0,74.0,134.0,37.0,67.0,18.91891891891892,13.059701492537313,0.1891891891891892,0.13059701492537312,0.0,5.0,0.0,30.0,0.0,30.0,0.0,2.6,0.0,3.0,0.0,13.0,0.0,0.43333333333333335,-35.46263291139241,0.0,-7.0,6.0,0,-7.0,6.0,0,10.0,5.0,1.0,0.0,0.0,1.0,0.5,0.847457627118644,0.0,0.0,0,0,0,59.0,29.5,8.474576271186441,0.0847457627118644,2.3333333333333335,14.0,14.0,2.571428571428571,0.0,6.0,0.42857142857142855,-33.07263291139241
-7.0,6.0,0,-5.0,0.0,0,10.0,28.0,5.0,14.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,1.5,0.847457627118644,2.027027027027027,0.0,0.0,0.0,0.0,0,0,0,0,0,0,59.0,74.0,29.5,37.0,8.474576271186441,18.91891891891892,0.0847457627118644,0.1891891891891892,2.3333333333333335,0.0,14.0,0.0,14.0,0.0,2.571428571428571,0.0,0.0,0.0,6.0,0.0,0.42857142857142855,0.0,-33.07263291139241,-35.46263291139241,0.0,0.0,16,0.0,0.0,16,61.0,30.5,8.0,0.0,0.0,8.0,4.0,4.3478260869565215,0.0,0.0,2,0,0,92.0,46.0,33.15217391304348,0.33152173913043476,0.3333333333333333,2.0,2.0,18.0,0.0,6.0,3.0,19.6773670886076
-1.0,0.0,0,-4.0,0.0,0,44.0,38.0,22.0,19.0,7.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,3.5,2.0,3.0434782608695654,2.4691358024691357,0.0,0.0,0.0,0.0,0,0,0,0,0,0,115.0,81.0,57.5,40.5,19.130434782608695,23.45679012345679,0.19130434782608696,0.2345679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.36263291139241,-0.0326329113924117,-7.0,0.0,0,-7.0,0.0,0,4.0,2.0,1.0,0.0,0.0,1.0,0.5,2.272727272727273,0.0,0.0,0,0,0,22.0,11.0,9.090909090909092,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25263291139241
-7.0,0.0,0,-1.0,0.0,0,4.0,44.0,2.0,22.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.5,3.5,2.272727272727273,3.0434782608695654,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22.0,115.0,11.0,57.5,9.090909090909092,19.130434782608695,0.09090909090909091,0.19130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25263291139241,-12.36263291139241,0.0,0.0,8,0.0,0.0,8,41.0,20.5,7.0,1.0,0.5,6.0,3.0,3.2710280373831777,0.0,0.0,1,0,0,107.0,53.5,19.1588785046729,0.19158878504672897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7026329113924135
0.0,0.0,8,-7.0,0.0,0,41.0,4.0,20.5,2.0,7.0,1.0,1.0,0.0,0.5,0.0,6.0,1.0,3.0,0.5,3.2710280373831777,2.272727272727273,0.0,0.0,0.0,0.0,1,0,0,0,0,0,107.0,22.0,53.5,11.0,19.1588785046729,9.090909090909092,0.19158878504672897,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7026329113924135,-51.25263291139241,4.0,0.0,0,4.0,0.0,0,83.0,41.5,10.0,2.0,1.0,8.0,4.0,3.2051282051282053,0.0,0.0,0,0,0,156.0,78.0,26.602564102564102,0.266025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.632632911392413
-8.0,0.0,8,-6.0,0.0,16,1.0,12.0,0.5,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.125,0.0,0.0,0.0,0.0,1,2,0,0,0,0,23.0,32.0,11.5,16.0,2.1739130434782608,18.75,0.021739130434782608,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.11263291139241,-10.512632911392409,-4.0,0.0,0,-4.0,0.0,0,20.0,10.0,4.0,0.0,0.0,4.0,2.0,7.407407407407407,0.0,0.0,0,0,0,27.0,13.5,37.03703703703704,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0773670886076
1.0,0.0,0,4.0,0.0,8,95.0,83.0,47.5,41.5,9.0,11.0,0.0,1.0,0.0,0.5,9.0,10.0,4.5,5.0,3.3088235294117645,4.954954954954955,0.0,0.0,0.0,0.0,0,1,0,0,0,0,136.0,111.0,68.0,55.5,34.9264705882353,37.387387387387385,0.3492647058823529,0.3738738738738739,1.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.8333333333333334,0.0,0.0,31.577367088607588,-7.0,0.0,0,-7.0,0.0,0,16.0,8.0,1.0,0.0,0.0,1.0,0.5,0.9615384615384616,0.0,0.0,0,0,0,52.0,26.0,15.384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.96263291139241
-7.0,0.0,0,1.0,0.0,0,16.0,95.0,8.0,47.5,1.0,9.0,0.0,0.0,0.0,0.0,1.0,9.0,0.5,4.5,0.9615384615384616,3.3088235294117645,0.0,0.0,0.0,0.0,0,0,0,0,0,0,52.0,136.0,26.0,68.0,15.384615384615385,34.9264705882353,0.15384615384615385,0.3492647058823529,0.0,1.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.8333333333333334,-36.96263291139241,0.0,-1.0,0.0,0,-1.0,0.0,0,45.0,22.5,7.0,0.0,0.0,7.0,3.5,3.3980582524271843,0.0,0.0,0,0,0,103.0,51.5,21.844660194174757,0.21844660194174756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.18263291139241
-1.0,0.0,0,-7.0,0.0,0,45.0,16.0,22.5,8.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,3.5,0.5,3.3980582524271843,0.9615384615384616,0.0,0.0,0.0,0.0,0,0,0,0,0,0,103.0,52.0,51.5,26.0,21.844660194174757,15.384615384615385,0.21844660194174756,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.18263291139241,-36.96263291139241,-7.0,0.0,0,-7.0,0.0,0,14.0,7.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0,0,0,50.0,25.0,14.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.68263291139241
