,MatchID,InningsID,Date,Year,Month,Match Type,Venue,Event,Match Winner,Player,Team,Opposition,Innings,Innings Type,Super Over,Target,Chase,Defence,% Target Achieved,Runs Required,Run Rate Required,Fielder,Batter Type,Batting Position,Score,Balls Faced,How Out,First Boundary Ball,Batting S/R,Runs/Ball,Boundary %,Fours,Sixes,Boundary Rate,Bowler Type,Bowling Position,Runsgiven,Wickets,Overs Bowled,Balls Bowled,Economy Rate,Bowling Avg,Avg Consecutive Dot Balls,Bowling S/R,Runsgiven/Ball,Batting S/R AA
0,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,P Nissanka,Sri Lanka,India,1,Batting,False,,,,,,,,Right hand,1.0,56.0,75.0,lbw,4.0,74.67,0.75,0.12,9.0,0.0,8.33,,,,,,,,,,,,6.696750223813794
1,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,WIA Fernando,Sri Lanka,India,1,Batting,False,,,,,,,Arshdeep Singh,Right hand,2.0,1.0,7.0,caught,,14.29,0.14,0.0,0.0,0.0,,,,,,,,,,,,,-53.68324977618621
2,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,BKG Mendis,Sri Lanka,India,1,Batting,False,,,,,,,,Right hand,3.0,14.0,31.0,lbw,27.0,45.16,0.45,0.03,1.0,0.0,31.0,,,,,,,,,,,,-22.81324977618621
3,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,S Samarawickrama,Sri Lanka,India,1,Batting,False,,,,,,,Shubman Gill,Right hand,4.0,8.0,18.0,caught,,44.44,0.44,0.0,0.0,0.0,,,,,,,,,,,,,-23.53324977618621
4,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,KIC Asalanka,Sri Lanka,India,1,Batting,False,,,,,,,RG Sharma,Left hand,5.0,14.0,21.0,caught,8.0,66.67,0.67,0.1,2.0,0.0,10.5,,,,,,,,,,,,-1.303249776186206
5,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,J Liyanage,Sri Lanka,India,1,Batting,False,,,,,,,RG Sharma,Right hand,6.0,20.0,26.0,caught,16.0,76.92,0.77,0.08,1.0,1.0,13.0,,,,,,,,,,,,8.946750223813794
6,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,DN Wellalage,Sri Lanka,India,1,Batting,False,,,,,,,,,7.0,67.0,65.0,not out,10.0,103.08,1.03,0.14,7.0,2.0,7.22,,,,,,,,,,,,35.10675022381379
7,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,PWH de Silva,Sri Lanka,India,1,Batting,False,,,,,,,AR Patel,Right hand,8.0,24.0,35.0,caught,11.0,68.57,0.69,0.09,1.0,2.0,11.67,,,,,,,,,,,,0.5967502238137854
8,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,A Dananjaya,Sri Lanka,India,1,Batting,False,,,,,,,Washington Sundar,Left hand,9.0,17.0,21.0,caught,10.0,80.95,0.81,0.1,2.0,0.0,10.5,,,,,,,,,,,,12.976750223813795
9,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,M Shiraz,Sri Lanka,India,1,Batting,False,,,,,,,,Right hand,10.0,1.0,1.0,not out,,100.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,32.02675022381379
10,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,Shubman Gill,India,Sri Lanka,1,Bowling,False,,,,,,,,,,,,,,,,,,,,Right arm off break,7.0,14.0,0.0,31.6,6.0,14.0,,0.0,,2.33,
11,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,Washington Sundar,India,Sri Lanka,1,Bowling,False,,,,,,,,,,,,,,,,,,,,Right arm off break,6.0,46.0,1.0,45.6,54.0,5.11,46.0,2.0,54.0,0.85,
12,Sri_Lanka-India-2024-08-02-male-ODI,Sri_Lanka-India-2024-08-02-male-ODI-1,2024-08-02,2024,8,ODI,"R Premadasa Stadium, Colombo",India tour of Sri Lanka,,AR Patel,India,Sri Lanka,1,Bowling,False,,,,,,,,,,,,,,,,,,,,Left arm orthodox,3.0,33.0,2.0,40.6,60.0,3.3,16.5,3.0,30.0,0.55,
