,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
Noor Ali Zadran,Noor Ali Zadran,Right hand,Right arm pace,18,10,0,55.6,18,448,166,44,8,167,420,17,3,2,0,7,1,3,1,0.4,41.8,106.7,34.87,26.35,24.89,16.54,33.5,12.4,1.1,23.3,13.63,41.5,5.9,24.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,,,,0,,0,,,,0.0,6.4,,147.1,0.2,-313.1,
Karim Sadiq,Karim Sadiq,Right hand,Right arm off break,36,18,0,50.0,35,410,123,48,6,190,404,34,6,2,0,22,1,3,0,0.5,32.9,101.5,53.4,12.06,11.71,10.41,11.099999999999994,13.4,1.0,11.5,8.06,29.900000000000006,3.8,11.9,7.5,29,562,173,42,25,8,432,18,2,16,163,2,0,0,5,1,0,8,2,2,7.8,0,37.7,15.5,70.25,0,54.0,0,1.3,6.4,39.8,1.6,6.1,70.2,109.1,0.1,248.9,-0.0
P Kumar,P Kumar,Right hand,Right arm pace,102,53,0,52.0,40,201,79,13,7,90,207,25,12,0,0,7,0,6,0,0.4,39.7,97.1,49.6,8.04,5.03,4.63,8.0,9.7,1.0,5.2,3.23,37.9,4.0,8.3,10.4,102,2605,634,292,67,70,2068,109,1,108,876,13,4,0,53,0,0,11,5,0,7.6,0,42.4,17.4,37.21,0,29.5,0,1.3,5.8,34.1,1.9,5.8,37.2,-99.9,0.1,2291.9,-0.0
A Nehra,A Nehra,Right hand,Left arm pace,84,45,0,53.6,15,20,14,1,0,33,54,9,3,0,0,6,0,0,0,0.6,43.9,37.0,27.47,2.22,1.33,1.73,-30.099999999999994,1.9,0.4,3.6,2.99,16.900000000000006,8.0,6.0,54.0,84,2412,597,268,72,103,1831,60,5,55,742,20,4,0,78,0,1,9,4,0,7.9,0,40.5,18.6,23.42,0,17.8,0,1.3,5.4,35.4,1.8,2.2,23.4,-280.9,-0.5,2098.9,-0.0
MS Dhoni,MS Dhoni,Right hand,Right arm pace,298,174,0,58.4,255,5471,1608,370,265,1258,3977,135,23,4,0,91,4,11,2,0.3,40.3,137.6,56.34,40.53,21.45,13.2,38.5,16.0,1.4,15.6,8.79,43.7,7.2,29.5,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,53,64,,0,,,,0,,0,,,,0.0,8.3,,5170.1,0.5,-313.1,
Mohammad Shahzad,Mohammad Shahzad,Right hand,,121,70,0,57.9,121,3268,777,361,139,1016,2435,115,25,8,0,71,2,6,3,0.4,34.1,134.2,44.91,28.42,27.01,19.38,28.200000000000003,20.5,1.3,20.1,12.24,39.1,4.7,21.2,4.9,13,245,70,26,7,8,188,3,0,3,68,2,0,0,6,0,0,55,21,35,7.8,0,36.2,17.6,30.62,0,23.5,0,1.3,5.7,42.4,1.6,8.1,30.6,2967.1,0.4,-68.1,-0.0
Nawroz Mangal,Nawroz Mangal,Right hand,Right arm off break,26,14,0,53.8,26,409,130,33,17,153,363,24,4,3,0,14,1,1,1,0.4,36.9,112.7,53.45,17.04,15.73,12.67,19.5,13.8,1.1,14.0,8.88,36.6,5.0,15.1,7.3,4,53,14,2,4,1,35,3,0,3,12,0,0,0,0,1,0,13,3,0,9.1,0,34.3,17.1,53.0,0,35.0,0,1.5,5.8,32.4,1.4,6.8,53.0,108.1,0.2,-260.1,0.2
Z Khan,Z Khan,Right hand,Left arm pace,76,36,0,47.4,16,60,22,4,2,45,81,9,3,0,0,6,0,0,0,0.6,44.4,74.1,56.48,6.67,3.75,4.16,-10.900000000000006,7.4,0.7,5.1,3.59,29.599999999999994,4.2,9.0,13.5,76,2133,578,226,53,74,1700,82,1,81,685,12,6,0,55,0,1,14,4,0,7.5,0,40.3,16.4,28.82,0,23.0,0,1.3,6.1,36.6,1.8,4.4,28.8,-240.9,-0.2,1819.9,-0.0
RA Jadeja,RA Jadeja,Left hand,Left arm orthodox,281,166,0,59.1,193,2988,1022,220,108,637,2252,111,16,7,1,66,1,10,9,0.3,44.7,132.7,55.64,26.92,15.48,9.79,36.8,14.6,1.3,11.7,6.71,42.6,5.8,20.3,6.9,265,6189,2232,362,285,205,4918,114,7,107,1645,43,20,0,112,17,13,105,28,0,7.6,0,33.4,13.2,30.19,0,24.0,0,1.3,7.6,44.9,1.6,8.0,30.2,2687.1,0.4,5875.9,-0.0
G Gambhir,G Gambhir,Left hand,Right arm leg break,146,82,0,56.2,143,3726,1248,429,52,1085,3103,129,28,6,0,75,1,14,5,0.3,39.9,120.1,37.64,28.88,26.06,19.31,25.900000000000006,15.5,1.2,21.7,13.63,37.2,5.5,24.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,,0,,,,0,,0,,,,0.0,7.2,,3425.1,0.3,-313.1,
